product_id|app_name|tags|n_reviews
200990|Geneforge 3|[Indie, Isometric, RPG, Strategy, Turn-Based Combat]|27.0
821670|Horse Farm|[Building, Casual, Colorful, Cute, Free to Play, Horses, Management, Relaxing, Resource Management, Simulation, Sports]|17.0
833360|Star Valor|[Action, Early Access, Exploration, Indie, Open World, RPG, Space]|18.0
673190|All-Star Fruit Racing|[4 Player Local, Action, Cartoony, Casual, Family Friendly, Female Protagonist, Funny, Indie, Multiplayer, Parody, Racing, Split Screen, Sports, Time Attack]|49.0
513690|Danger Zone 2|[Destruction, Indie, Racing]|22.0
881680|Mouse Enhancer Pro|[Software, Utilities, e-sports]|14.0
728540|Islands of Nyne: Battle Royale|[Action, Early Access, FPS, First-Person, Indie, Multiplayer, Sci-fi, Shooter, Survival]|2720.0
684200|Icons: Combat Arena|[Early Access, Fighting, Free to Play, Indie, Multiplayer]|611.0
670350|The Free Ones|[3D Platformer, Adventure, First-Person, Indie, Lore-Rich, Parkour]|33.0
16030|7 Wonders: Treasures of Seven|[Casual, Match 3, Puzzle]|21.0
500|Left 4 Dead|[Action, Adventure, Atmospheric, Co-op, Competitive, FPS, Female Protagonist, First-Person, Horror, Moddable, Multiplayer, Online Co-Op, Post-apocalyptic, Replay Value, Shooter, Singleplayer, Survival, Tactical, Team-Based, Zombies]|11534.0
3560|Bejeweled Twist|[Casual, Match 3, Puzzle, Strategy]|90.0
17180|Mosby's Confederacy|[Historical, Strategy]|17.0
809890|Shining Resonance Refrain|[Action, Action RPG, Adventure, Anime, Dragons, Female Protagonist, Hack and Slash, JRPG, Nudity, RPG, Sexual Content, Singleplayer]|110.0
815450|Cardinal Cross|[Casual, Cyberpunk, Female Protagonist, Indie, Otome, Sci-fi, Story Rich, Visual Novel]|56.0
18600|Mayhem Intergalactic|[Indie, Strategy]|13.0
17410|Mirror's Edge™|[Action, Adventure, Atmospheric, Classic, Colorful, Cyberpunk, Dystopian, FPS, Female Protagonist, First-Person, Futuristic, Great Soundtrack, Parkour, Platformer, Puzzle, Sci-fi, Short, Singleplayer, Stylized, Time Attack]|14011.0
15400|Harvest: Massive Encounter|[Indie, Sci-fi, Singleplayer, Strategy, Tower Defense]|84.0
22130|Hearts of Iron 2 Complete|[Grand Strategy, Historical, Strategy, World War II]|199.0
26000|The Maw|[3D Platformer, Action, Casual, Comedy, Cute, Indie, Platformer, Puzzle]|149.0
552110|Puzzle Pirates: Dark Seas|[Adventure, Casual, Free to Play, Indie, Massively Multiplayer, Pirates, Puzzle, RPG, Strategy]|358.0
16060|Samantha Swift and the Golden Touch|[Adventure, Casual, Female Protagonist, Hidden Object]|12.0
25900|King's Bounty: The Legend|[Adventure, Atmospheric, Classic, Fantasy, Great Soundtrack, Hex Grid, Open World, RPG, Singleplayer, Strategy, Tactical, Tactical RPG, Turn-Based, Turn-Based Combat, Turn-Based Strategy]|1034.0
12470|Port Royale 2|[Economy, Historical, Naval, Pirates, Strategy, Trading]|239.0
6080|Thrillville®: Off the Rails™|[Action, Adventure, Management, Racing, Simulation, Singleplayer, Strategy]|245.0
6010|Indiana Jones® and the Fate of Atlantis™|[1990's, Adventure, Classic, Pixel Graphics, Point & Click, Retro, Singleplayer, Third Person]|531.0
33520|Tropico Reloaded|[City Builder, Classic, Comedy, Great Soundtrack, Management, Pirates, Sandbox, Simulation, Singleplayer, Strategy]|348.0
13570|Tom Clancy's Splinter Cell Chaos Theory®|[Action, Adventure, Atmospheric, Classic, Co-op, Great Soundtrack, Multiplayer, Shooter, Singleplayer, Stealth, Story Rich, Tactical, Third Person, Third-Person Shooter]|1549.0
37400|Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack|[2D, Adventure, Comedy, Funny, Hand-drawn, Indie, Point & Click, Singleplayer, Time Travel]|391.0
11390|Crash Time 2|[Action, Adventure, Driving, Local Multiplayer, Open World, Racing, Simulation, Singleplayer, Split Screen]|908.0
35070|Flora's Fruit Farm|[Agriculture, Casual]|60.0
40320|Rush for Berlin Gold|[RTS, Strategy, World War II]|83.0
31200|Tales of Monkey Island Complete Pack: Chapter 4 - The Trial and Execution of Guybrush Threepwood|[Adventure]|21.0
682620|Cosmos Invictus|[Card Game, Early Access, Free to Play, Massively Multiplayer, Mechs, Strategy]|37.0
12480|9th Company: Roots Of Terror|[Cold War, Military, RTS, Strategy, War]|114.0
41300|Altitude|[2D, Action, Arcade, Casual, Flight, Free to Play, Indie, Multiplayer, Shooter, Simulation, Singleplayer]|1637.0
38230|Hotel Giant 2|[Management, Simulation]|120.0
34190|Sonic & SEGA All-Stars Racing|[Action, Arcade, Controller, Family Friendly, Fast-Paced, Great Soundtrack, Local Multiplayer, Multiplayer, Racing, Singleplayer, Split Screen]|465.0
48110|Silent Hunter 5®: Battle of the Atlantic|[Historical, Military, Multiplayer, Naval, Simulation, Singleplayer, Strategy, Underwater, World War II]|1003.0
27920|Booster Trooper|[Action, Indie, Multiplayer, Platformer, Shooter]|139.0
19030|Rocket Knight|[Action, Adventure, Platformer]|65.0
46360|Theatre of War 2: Kursk 1943|[Simulation, Strategy, Tanks, World War II]|91.0
870420|Movavi Video Editor Plus 14|[Audio Production, Utilities, Video Production]|100.0
22600|Worms Reloaded|[2D, 4 Player Local, Action, Classic, Co-op, Comedy, Competitive, Funny, Local Co-Op, Local Multiplayer, Multiplayer, Online Co-Op, Side Scroller, Singleplayer, Strategy, Tactical, Team-Based, Turn-Based, Turn-Based Strategy]|1832.0
48800|Ship Simulator Extremes|[Adventure, Multiplayer, Naval, Open World, Realistic, Simulation, Singleplayer]|955.0
780500|Suzy Cube|[3D Platformer, Adventure]|34.0
9940|Blade Kitten|[Action, Adventure, Anime, Cute, Fantasy, Female Protagonist, Hack and Slash, Indie, Platformer, Sci-fi, Singleplayer]|711.0
717310|Aggelos|[Adventure, Indie, Metroidvania, Platformer, RPG, Retro]|38.0
749780|DEAD DOZEN Escape|[Action, Co-op, Destruction, Difficult, FPS, Family Friendly, First-Person, Funny, Great Soundtrack, Horror, Indie, Massively Multiplayer, Multiplayer, Physics, Realistic, Shooter, Singleplayer, Tactical, Team-Based, Zombies]|270.0
367240|Avenging Angel|[Action, Action RPG, Action-Adventure, Adventure, FPS, RPG, Steampunk]|11.0
